"""protein""","""pathwayCount"""
"""Q13188""",2
"""O95670""",11
"""Q99884""",8
"""P18084""",14
"""P41439""",3
"""Q15464""",4
"""Q7L3T8""",4
"""P80108""",3
"""Q17RR3""",3
"""Q9UK97""",7
"""Q9Y2R2""",5
"""Q9NVH2""",3
"""O15265""",7
"""Q9Y4P8""",2
"""Q8WVX9""",3
"""Q9Y4E8""",10
"""P29374""",3
"""O14921""",4
"""Q9NPF7""",5
"""Q8N4N8""",24
"""Q8NHY6""",3
"""Q8NHB1""",5
"""Q8N4C8""",4
"""P59533""",6
"""P82909""",6
"""Q9NST1""",5
"""Q8NGK1""",5
"""Q9UNE0""",4
"""Q02153""",3
"""Q8NGJ5""",5
"""Q16099""",6
"""O43715""",6
"""P16870""",3
"""O43709""",4
"""P01619""",23
"""Q92952""",3
"""P40123""",4
"""P10588""",4
"""O43678""",5
"""Q8TAW3""",3
"""Q86YE8""",3
"""Q3LIE5""",5
"""Q8TAA3""",6
"""P78317""",9
"""Q6YP21""",4
"""P62277""",23
"""Q6UWR7""",5
"""Q9HAB3""",4
"""Q9Y6Q2""",4
"""P29692""",3
"""Q9UKU0""",5
"""P13598""",8
"""Q9UEY8""",2
"""P21108""",4
"""Q8WW01""",3
"""Q9Y5X1""",6
"""Q9Y691""",7
"""Q8WXX7""",5
"""P35462""",8
"""P17302""",13
"""Q9H2C5""",5
"""P60568""",15
"""Q99962""",28
"""Q6ZUX7""",4
"""O75306""",5
"""P62979""",292
"""Q14703""",15
"""O00755""",6
"""Q96FF9""",10
"""Q99956""",6
"""Q9UJP4""",7
"""Q9UPV0""",16
"""Q7Z4F1""",9
"""P59923""",3
"""Q04828""",16
"""Q12802""",10
"""P28067""",3
"""P46092""",8
"""Q9Y2Y0""",3
"""P48507""",5
"""Q6AI14""",4
"""P09693""",19
"""P20853""",7
"""Q08828""",37
"""P18858""",32
"""O43913""",21
"""P49913""",4
"""Q99665""",5
"""Q8N3C0""",4
"""Q08708""",3
"""Q6AW86""",3
"""P00813""",4
"""Q9NWT6""",5
"""O14983""",10
"""Q92541""",9
"""Q92535""",4
"""P14672""",3
"""O60427""",6
"""O15067""",4
"""Q8N7M0""",3
"""O43808""",5
"""P01718""",23
"""Q9BVC5""",3
"""P15391""",17
"""Q96HR3""",5
"""Q86Y25""",3
"""Q8TCB6""",5
"""Q5VWX1""",4
"""Q15080""",17
"""P13521""",4
"""Q96A32""",2
"""P05412""",49
"""P50876""",4
"""P50897""",4
"""Q9UH17""",4
"""P62241""",23
"""Q9UNN8""",4
"""P52294""",19
"""Q99519""",13
"""Q14916""",4
"""O95295""",5
"""Q14802""",6
"""P54756""",3
"""Q96DZ1""",12
"""Q15776""",3
"""P56180""",5
"""P61204""",16
"""Q96FX7""",3
"""O14531""",4
"""Q8N114""",4
"""Q16526""",1
"""O00167""",4
"""P62745""",20
"""Q71SY5""",5
"""P62937""",25
"""P43034""",33
"""Q9HAW7""",4
"""O14717""",3
"""Q7Z5P4""",3
"""Q06330""",23
"""P01850""",10
"""A0MZ66""",4
"""Q9UJA2""",6
"""Q9Y5R8""",13
"""Q9Y6X9""",4
"""Q9H2X9""",4
"""Q06210""",6
"""Q15485""",7
"""Q9H2M9""",7
"""Q9Y6M9""",5
"""P58294""",7
"""Q92754""",14
"""Q58EX2""",4
"""P30530""",4
"""A6NET4""",5
"""P10276""",7
"""Q9NXH9""",3
"""Q05469""",4
"""Q9NX14""",5
"""P13224""",7
"""O15145""",15
"""Q9NQ48""",4
"""P51164""",3
"""Q96QE2""",4
"""P01817""",23
"""Q8TDN1""",3
"""Q6EMB2""",3
"""Q8TDX5""",4
"""Q8NHC6""",5
"""Q8TDM5""",3
"""O43189""",3
"""A6PVC2""",3
"""Q9BY49""",7
"""Q9NV58""",4
"""Q9BXS9""",4
"""P10645""",3
"""Q96AP0""",4
"""P11509""",6
"""A7KAX9""",3
"""P08590""",2
"""Q9BQ48""",6
"""P30419""",16
"""P0C604""",5
"""O00230""",7
"""Q969Z3""",3
"""O43699""",3
"""Q9UNU6""",21
"""Q96PD7""",7
"""P53803""",79
"""Q13464""",25
"""Q9H4M7""",5
"""Q86UN2""",3
"""Q16739""",4
"""P19224""",4
"""Q96H96""",6
"""P43268""",3
"""Q99467""",4
"""P63027""",30
"""Q16594""",23
"""Q7Z7F7""",6
"""Q9ULB5""",4
"""P25098""",21
"""Q7Z6P3""",6
"""Q8IWX8""",4
"""Q9UKV5""",6
"""Q7Z6Z7""",6
"""Q99983""",5
"""Q9H2E6""",4
"""Q9Y5Y6""",3
"""A6NIH7""",4
"""Q4VCS5""",2
"""Q96G23""",4
"""Q86Y07""",10
"""P16066""",3
"""Q8NFJ9""",4
"""Q13332""",6
"""P25092""",6
"""Q86U70""",9
"""P11388""",5
"""Q9HA82""",4
"""Q93086""",4
"""Q6ZMB0""",4
"""P50552""",10
"""Q96A08""",71
"""P08473""",6
"""Q8IU80""",3
"""Q9H981""",8
"""O95886""",3
"""P54687""",3
"""Q9H2P9""",4
"""Q9H1C0""",8
"""Q99965""",3
"""O95772""",5
"""Q9H1M4""",5
"""O76061""",4
"""Q86UE6""",3
"""P24928""",60
"""Q13155""",8
"""Q96LB4""",11
"""A6NNM8""",3
"""O75191""",3
"""P62847""",23
"""P25788""",6
"""O00623""",5
"""P08842""",8
"""Q5NV81""",20
"""Q7Z3Z4""",3
"""P46782""",23
"""Q5DT21""",3
"""O94927""",16
"""P15586""",13
"""Q8NAV1""",4
"""O15232""",6
"""P49916""",13
"""P49802""",8
