"""protein""","""pathwayCount"""
"""Q9H7P9""",10
"""Q96RP9""",4
"""P02656""",16
"""P22301""",4
"""Q8N4H5""",4
"""Q8NI22""",9
"""P31930""",4
"""Q8NGZ2""",5
"""P13760""",10
"""P14866""",4
"""P01780""",23
"""O75845""",6
"""P61758""",5
"""Q14669""",4
"""Q9UBP5""",6
"""Q96RD7""",3
"""Q9UBZ9""",7
"""Q8IYJ3""",4
"""Q7Z403""",3
"""O14950""",16
"""Q99704""",7
"""P62508""",4
"""O75044""",9
"""P55259""",3
"""Q92502""",3
"""Q5NV69""",20
"""Q8NGY0""",5
"""Q15274""",4
"""Q8NGN0""",5
"""Q9NV72""",3
"""Q08AH1""",7
"""Q8NGC0""",5
"""Q9Y256""",4
"""Q8NG80""",5
"""P55769""",8
"""Q7Z418""",7
"""Q5RKV6""",7
"""O60243""",5
"""P54108""",3
"""P49765""",9
"""Q8N122""",18
"""Q9BTE1""",11
"""Q8NGQ6""",5
"""P0C024""",6
"""Q9NYU2""",6
"""Q8NG95""",5
"""Q8NGC9""",5
"""P48728""",4
"""Q9NRA1""",3
"""Q6UX72""",4
"""Q02083""",3
"""P78367""",5
"""P49588""",4
"""Q9NR61""",18
"""O60939""",7
"""Q9P1Q5""",5
"""P52333""",19
"""O43639""",15
"""P20273""",6
"""Q5VIR6""",4
"""P23434""",4
"""P10398""",15
"""P62873""",59
"""Q96F44""",4
"""P30838""",3
"""P26678""",6
"""Q01118""",7
"""P13232""",4
"""Q9Y6J6""",4
"""Q9UL15""",4
"""Q9UKP5""",4
"""P19013""",2
"""Q9UKZ9""",3
"""O94953""",11
"""Q9UKE5""",4
"""Q99731""",8
"""Q96QF0""",10
"""O75923""",2
"""O95838""",7
"""Q8N4J0""",4
"""Q96PZ0""",3
"""Q13107""",9
"""Q14627""",4
"""P08908""",8
"""Q8IYF1""",22
"""Q15181""",6
"""Q9UIG8""",4
"""P83876""",5
"""P07237""",24
"""O60462""",8
"""P10092""",7
"""Q12918""",3
"""P20591""",5
"""P58182""",5
"""Q13586""",11
"""C9JRZ8""",5
"""Q9H4Y5""",7
"""O43837""",4
"""O95406""",9
"""Q8N335""",5
"""O14944""",26
"""Q9BV10""",4
"""O95396""",4
"""Q9NZU1""",5
"""Q01130""",12
"""Q8NH94""",5
"""Q8NHC8""",5
"""Q9NSV4""",4
"""Q6UXV1""",3
"""P12872""",7
"""P50135""",6
"""Q8NGB4""",5
"""Q5TA78""",3
"""O75581""",6
"""P22897""",5
"""P33402""",3
"""P40926""",7
"""O60237""",12
"""P20366""",8
"""Q86X55""",16
"""O75461""",4
"""Q14831""",6
"""Q15691""",29
"""Q9BSK4""",3
"""Q93038""",4
"""Q9NYG5""",37
"""P13637""",6
"""Q9NS69""",4
"""P08311""",11
"""O75971""",7
"""P25116""",12
"""Q2M1P5""",3
"""Q9Y5K3""",5
"""Q9UK22""",7
"""Q6UX39""",4
"""Q9ULC3""",3
"""Q13790""",4
"""P15907""",12
"""Q9BY84""",6
"""Q9BXW4""",2
"""Q14654""",12
"""P61956""",25
"""Q9UEF7""",30
"""Q13976""",11
"""O75356""",4
"""Q8WVD3""",4
"""Q96MP8""",7
"""Q8TEA1""",3
"""Q15404""",4
"""Q5JPI9""",3
"""Q96K12""",3
"""P55265""",5
"""Q8IZF0""",3
"""P46926""",4
"""O00451""",9
"""P51946""",61
"""P18065""",2
"""Q7Z4H4""",7
"""Q6PHR2""",3
"""Q9H7S9""",3
"""O15205""",3
"""Q7Z4R8""",3
"""P11055""",2
"""Q6PJP8""",2
"""O95619""",8
"""Q9NPA3""",4
"""P00326""",8
"""O43255""",12
"""Q8TDQ0""",4
"""Q4G0N4""",4
"""Q8NGE1""",5
"""P07951""",3
"""Q92564""",3
"""Q9NTI2""",3
"""O60264""",10
"""Q6PGQ7""",5
"""Q9NW38""",2
"""P20585""",3
"""Q8N257""",69
"""Q5JSL3""",2
"""P67809""",10
"""P11940""",15
"""Q86XT4""",4
"""O43504""",15
"""Q86XS8""",4
"""Q96GF1""",12
"""Q96AJ9""",5
"""Q9ULH1""",4
"""P43489""",4
"""Q9NZQ8""",4
"""P62072""",2
"""Q9P2N7""",7
"""O00154""",4
"""P41594""",9
"""P51649""",5
"""Q9UMX6""",7
"""Q6UXG8""",3
"""P15814""",2
"""O75569""",4
"""O95136""",7
"""P17538""",3
"""Q9H3P7""",5
"""P42338""",57
"""Q63HM1""",4
"""Q6P582""",9
"""P62888""",19
"""P19835""",3
"""Q16363""",9
"""O95208""",4
"""Q86SZ2""",10
"""Q08ET2""",4
"""P37173""",20
"""Q7Z3T1""",5
"""Q16222""",6
"""Q9UJY5""",6
"""Q8NDP4""",3
"""Q9Y2S0""",20
"""Q9Y5J7""",2
"""P48443""",7
"""Q9NP90""",12
"""Q9Y2H0""",3
"""Q8N461""",7
"""Q99611""",4
"""Q9H7Z7""",8
"""O15273""",2
"""Q6QHC5""",4
"""O95718""",4
"""Q6P597""",12
"""P20783""",5
"""Q9H0F6""",8
"""Q5QP82""",3
"""Q08623""",4
"""O60513""",11
"""A0AVF1""",3
"""P30481""",7
"""Q9HCX3""",3
"""P04233""",5
"""Q92777""",5
"""Q9NP99""",7
"""Q9NUI1""",7
"""Q9Y235""",4
"""P01768""",23
"""Q9BUE0""",2
"""O43603""",7
"""Q9BTN0""",3
"""Q96PQ1""",3
"""Q8TBF2""",5
"""O14818""",6
"""Q8NGY9""",5
"""P25101""",7
"""P21917""",8
"""Q9H444""",9
"""Q9H3S4""",4
"""Q9UF12""",5
"""O95922""",3
"""Q01826""",9
"""Q8WYP5""",16
"""P98095""",3
"""P23527""",71
"""Q9UDY2""",7
"""O95235""",12
"""P48146""",7
"""Q14165""",7
"""Q9H324""",4
"""P24387""",4
"""Q8TAE7""",3
"""Q13487""",7
"""P62987""",288
"""O00763""",4
"""Q8IW45""",5
"""P10321""",9
"""P61326""",13
"""Q6JVE5""",4
"""P25787""",9
"""O15492""",4
"""Q9UKY4""",3
"""Q9ULD8""",3
"""Q9Y6H5""",2
"""Q9H339""",5
"""Q9NQC3""",5
"""O00148""",9
"""Q96MR9""",3
"""O15372""",11
"""P09237""",6
"""Q9Y6G9""",30
"""Q9Y5Q5""",3
"""Q9Y625""",16
"""Q9H2G9""",5
"""O43921""",3
"""O95786""",17
"""Q9Y619""",4
"""Q16831""",6
"""P38646""",6
"""Q08722""",9
"""P55145""",4
"""Q9P0X4""",4
"""Q15466""",4
"""O43306""",37
"""P25440""",5
"""Q9BQC3""",4
"""Q8NB91""",2
"""Q9NP84""",4
"""P52630""",5
"""Q9NPB8""",6
"""P01732""",3
"""P59025""",5
"""P03951""",3
"""Q96Q42""",4
"""O43791""",3
"""Q8N428""",4
"""O75185""",3
"""P21506""",3
"""Q96HS1""",2
"""P30475""",7
"""P04035""",4
"""A8K8P3""",16
"""Q92558""",11
"""Q9HBY0""",4
"""P32745""",11
"""P06280""",7
"""Q969I3""",7
"""Q13410""",3
"""Q9UGF5""",5
"""Q9Y277""",6
"""O75554""",4
"""Q13404""",39
"""P28330""",7
"""Q9BUN8""",12
"""P61353""",19
"""Q9UHC7""",10
"""Q14258""",20
"""Q15014""",3
"""Q969W9""",5
"""Q14123""",13
"""P47870""",5
"""Q9H252""",3
"""Q8NGF6""",5
"""P28288""",3
"""Q71F56""",2
"""Q9HB89""",8
"""Q9HAW9""",4
"""Q60I27""",4
"""P35609""",21
"""Q9Y4P1""",2
"""P53634""",14
"""O95999""",16
"""P01270""",6
"""O95229""",16
"""Q14159""",7
"""Q6PXP3""",3
"""P02790""",3
"""P68363""",8
"""O95198""",7
"""Q9UQL6""",15
"""Q8IVG9""",9
"""O15294""",7
"""Q9Y547""",3
"""Q9NR97""",9
"""Q8NBX0""",4
"""Q9P126""",3
"""Q8N2S1""",3
"""P04920""",4
"""P48509""",6
"""P51172""",3
"""Q5T4W7""",9
"""Q9NPI6""",6
"""Q15388""",7
"""P20849""",16
"""Q9BQ15""",3
"""Q9BYM8""",9
"""Q96BT3""",19
"""Q9NV66""",4
"""Q9NWT8""",6
"""Q5TG30""",3
"""P06493""",68
"""Q96BI3""",24
"""P45984""",31
"""P27824""",20
"""P50213""",4
"""Q9UHF4""",4
"""Q11206""",21
"""Q86WJ1""",5
"""Q13617""",12
"""P15538""",9
"""Q86YS7""",3
"""P0C7N8""",5
"""P41208""",26
"""Q13503""",2
"""Q96Q15""",3
"""P35318""",7
"""P16284""",13
"""P62316""",7
"""Q13472""",22
"""Q02878""",19
"""P35968""",10
"""Q9UBD9""",5
"""Q6ZMZ0""",4
"""Q96AH8""",8
"""Q8NFR3""",4
"""Q8IY37""",4
"""Q9UF33""",3
"""P29803""",10
"""P17658""",3
"""Q9NSA0""",5
"""Q9H210""",5
"""Q9Y5P0""",5
"""Q8N7H5""",9
"""P35869""",7
"""O43432""",5
"""O14653""",12
"""Q9NXB0""",3
"""P37287""",4
"""Q9NZV6""",2
"""Q06587""",22
"""Q9NX70""",2
"""P30085""",3
"""Q9NS75""",8
"""Q9NYT6""",3
"""Q8N4T4""",10
"""O43447""",4
"""Q9NQT5""",7
"""Q9P219""",4
"""Q68CZ2""",5
"""O14548""",9
"""Q9NXB9""",8
"""P30460""",7
"""Q92570""",4
"""P05186""",3
"""Q9BQE4""",4
"""Q6PJG9""",3
"""Q9BQ83""",8
"""Q04671""",3
"""P30532""",9
"""Q5TAT6""",5
"""P61020""",12
"""Q9NP78""",2
"""Q5TCS8""",3
"""Q8NCM8""",3
"""P50395""",10
"""P29320""",3
"""P35225""",4
"""Q15800""",4
"""P04908""",60
"""Q9BX79""",6
"""P60660""",16
"""Q8WUF5""",6
"""Q8IXK0""",21
"""Q96R08""",5
"""Q8TDX7""",7
"""Q9HCG1""",3
"""Q96QD8""",8
"""Q14435""",10
"""P35080""",7
"""Q9HCQ5""",4
"""O00487""",10
"""P43354""",4
"""Q9GZQ4""",8
"""Q9HAW0""",5
"""O75575""",9
"""P08571""",25
"""Q9ULW2""",4
"""O75626""",7
"""Q16555""",6
"""Q15008""",9
"""Q15029""",5
"""P10606""",9
"""Q8IWI9""",4
"""O14746""",9
"""P11274""",9
"""Q9ULX7""",2
"""Q6ZNB7""",4
"""Q9NR82""",3
"""Q9NQL2""",15
"""O60825""",4
"""Q9Y5Z4""",3
"""P30043""",3
"""P21731""",13
"""Q8N4P2""",3
"""P49354""",11
"""Q9NY84""",3
"""Q92783""",19
"""Q9BYW3""",5
"""A6NHA9""",5
"""P11169""",10
"""Q96KP1""",4
"""Q9NXK8""",7
"""Q53H76""",5
"""P61254""",19
"""P42224""",35
"""O43915""",9
"""Q5JTW2""",16
"""Q7Z5H3""",3
"""Q9BW92""",4
"""Q9H1J7""",5
"""Q8WWR8""",10
"""Q96RP3""",4
"""Q68D85""",3
"""P61764""",11
"""Q9BRF8""",3
"""O75164""",7
"""O75143""",2
"""Q68CL5""",3
"""P61077""",23
"""P22459""",3
"""Q96HQ0""",3
"""Q14534""",4
"""P55073""",5
"""P05534""",7
"""Q96B33""",4
"""P46734""",31
"""P35813""",10
"""Q6VY07""",7
"""Q9HCM3""",4
"""P15559""",4
"""P08670""",7
"""P09669""",9
"""O15013""",10
"""Q9Y262""",11
"""Q9Y2K6""",4
"""P27694""",73
"""P17643""",3
"""P29122""",13
"""O95427""",4
"""P62993""",145
"""O75533""",9
"""P43307""",3
"""P16278""",19
"""Q96P16""",3
"""Q15113""",5
"""Q99527""",7
"""O75038""",3
"""P05549""",15
"""Q8N1Q1""",2
"""Q16654""",8
"""Q99496""",22
"""O00268""",19
"""Q9HCE9""",7
"""Q8NGZ5""",5
"""Q16513""",4
"""Q8NH05""",5
"""Q93050""",12
"""Q9NRW1""",12
"""Q8NGD5""",5
"""P78352""",29
"""Q15617""",5
"""P48047""",7
"""P09429""",37
"""P20393""",6
"""P78346""",3
"""P29017""",3
"""O60258""",69
"""Q8N5P1""",3
"""Q71RS6""",4
"""Q9BZW2""",4
"""Q92882""",3
"""Q6ECI4""",3
"""Q8TAF3""",8
"""Q86W56""",5
"""Q9NYV7""",6
"""Q5VVQ6""",4
"""Q86V21""",4
"""P0DP23""",104
"""P12018""",2
"""Q9H840""",3
"""Q96RS0""",6
"""P45381""",3
"""P32241""",7
"""P15622""",3
"""P51151""",9
"""A4D1S5""",3
"""P01258""",7
"""O95631""",9
"""Q9P0N9""",4
"""Q13227""",3
"""Q5JVG2""",3
"""O95817""",4
"""Q9BYV7""",9
"""P55286""",4
"""Q15311""",3
"""P18887""",13
"""P50120""",9
"""P07477""",7
"""P39210""",2
"""P04196""",5
"""O00472""",3
"""Q1ZYL8""",3
"""O94782""",4
"""P07357""",5
"""O75752""",4
"""Q12846""",16
"""O95340""",10
"""O94776""",20
"""Q8NBF2""",4
"""A8MT69""",6
"""Q08380""",4
"""O75746""",6
"""Q9UHY7""",5
"""P49771""",4
"""Q9Y2R4""",4
"""Q8IWT0""",3
"""Q16540""",6
"""Q08431""",4
"""Q99595""",2
"""Q8NGG2""",5
"""Q5MNZ9""",2
"""Q96AQ7""",3
"""P59541""",6
"""Q04446""",4
"""Q92585""",23
"""P59535""",6
"""Q969W0""",4
"""Q8N158""",16
"""O43525""",7
"""P22570""",11
"""P98194""",3
"""Q8NG27""",4
"""O60216""",24
"""P39656""",9
"""Q8TAM1""",4
"""P11226""",6
"""Q49A17""",4
"""Q68E01""",3
"""O43426""",11
"""P15169""",4
"""P16581""",2
"""Q6XPR3""",3
"""Q96NR8""",6
"""P62805""",75
"""Q5FBB7""",16
"""Q3ZCM7""",3
"""O76013""",2
"""Q96NG8""",3
"""P05165""",8
"""O75335""",10
"""O00571""",3
"""Q96D31""",11
"""Q9UI30""",13
"""Q9UJF2""",5
"""O00757""",4
"""O94989""",10
"""Q5T653""",6
"""Q8N5X7""",5
"""P20042""",13
"""Q8N697""",7
"""P24864""",36
"""P21583""",15
"""P30613""",4
"""Q9NVR2""",3
"""Q9NYG8""",7
"""P46778""",19
"""O60423""",3
"""Q03112""",8
"""Q5QNW6""",8
"""Q12933""",28
"""P14854""",9
"""Q9NXE8""",4
"""Q7Z340""",3
"""P01714""",23
"""O60609""",7
"""Q8TEY5""",3
"""O95613""",16
"""Q9BXL7""",10
"""O75167""",4
"""Q9UBD3""",8
"""Q99500""",7
"""Q96QB1""",3
"""P30457""",7
"""Q9BX67""",4
"""P17022""",3
"""P42898""",4
"""P82932""",6
"""Q8IY31""",3
"""P36894""",3
"""Q8TE58""",4
"""Q7L1T6""",3
"""P27707""",5
"""Q9UMX0""",4
"""P07339""",8
"""P35998""",9
"""P29317""",3
"""Q13496""",7
"""Q8WZ92""",5
"""P29973""",8
"""Q9UHW9""",4
"""Q9UEW3""",3
"""Q9H5Y7""",3
"""P09417""",4
"""Q14246""",4
"""O95972""",4
"""P62195""",6
"""O95477""",4
"""Q15652""",2
"""Q8IWF6""",4
"""A1A5B4""",3
"""Q6PCT2""",7
"""Q8NH08""",5
"""Q8NFY4""",4
"""Q9UMX9""",3
"""Q9HAV7""",2
"""Q16698""",5
"""Q6PKX4""",3
"""Q14807""",8
"""Q8N4Z0""",3
"""Q9BZM1""",10
"""P01912""",10
"""O95867""",3
"""Q5T4J0""",4
"""Q6P5R6""",19
"""Q08116""",4
"""Q92750""",19
"""O43497""",4
"""P05060""",4
"""Q86U10""",3
"""Q92630""",6
"""P02818""",6
"""Q9UL03""",3
"""Q9UJX3""",37
"""O94956""",4
"""P33176""",12
"""P42701""",6
"""O75131""",7
"""Q96KP4""",5
"""Q9BXS5""",18
"""Q99895""",4
"""Q96BH1""",4
"""P60174""",5
"""Q6ZQY3""",3
"""Q13085""",7
"""Q16720""",10
"""P25391""",12
"""P07225""",17
"""Q969Q0""",19
"""Q9H5Q4""",3
"""P58170""",5
"""P01570""",5
"""Q9Y223""",6
"""O95415""",3
"""Q86YF9""",3
"""Q9H4M3""",7
"""P61626""",4
"""Q8IYH5""",3
"""Q14210""",3
"""P35269""",52
"""Q13454""",5
"""Q99598""",3
"""Q96B36""",14
"""Q16621""",2
"""Q15070""",6
"""Q6ZVT0""",3
"""Q6P1L8""",6
"""Q14204""",42
"""Q05996""",3
"""P59544""",6
"""Q9HCB6""",4
"""Q9GZX5""",3
"""Q8NEM0""",5
"""Q9Y6G3""",6
"""Q8NGA2""",5
"""Q6PG37""",3
"""Q9P2E2""",3
"""O95279""",3
"""P23515""",5
"""Q8NEE6""",7
"""Q9NZI8""",5
"""O14490""",3
"""Q9NRJ3""",8
"""P31785""",19
"""Q9NYR8""",6
"""P12755""",9
"""O15240""",4
"""P11229""",8
"""Q9NQS3""",5
"""O60729""",3
"""Q9UK10""",3
"""P20936""",18
"""P01033""",11
"""P01225""",11
"""Q01523""",5
"""P21796""",9
"""Q96RD1""",5
"""Q13002""",7
"""Q5S007""",4
"""P02766""",15
"""Q96T83""",4
"""Q92552""",6
"""Q96MF7""",5
"""P23193""",28
"""Q5XX13""",10
"""Q9BRV8""",5
"""Q92738""",4
"""P82251""",7
"""P51955""",22
"""Q96EF6""",7
"""P13349""",3
"""P07438""",3
"""P45378""",2
"""P32238""",7
"""Q12834""",40
"""P52788""",3
"""P51814""",3
"""Q8IUF8""",3
"""Q7Z412""",2
"""Q9UBE8""",4
"""Q7Z406""",14
"""O94929""",4
"""Q99707""",9
"""Q8IXI2""",7
"""P35368""",9
"""P05423""",9
"""Q15283""",5
"""Q86YM7""",3
"""Q99676""",3
"""P18089""",13
"""Q16828""",35
"""O00469""",3
"""Q9HDB5""",3
"""O14880""",5
"""Q9Y6N1""",9
"""O15078""",19
"""P49768""",29
"""O75608""",4
"""O95498""",7
"""O43819""",9
"""Q9P2L0""",6
"""Q14318""",4
"""Q16537""",37
"""O14734""",14
"""P56377""",16
"""O43482""",4
"""Q9C005""",8
"""Q8NG98""",5
"""Q9BU61""",5
"""Q6ZMU5""",2
"""P59538""",6
"""P11142""",34
"""Q9NYZ2""",2
"""Q6V0L0""",9
"""P20963""",21
"""Q9NSI6""",6
"""O60828""",4
"""Q00872""",2
"""P68366""",27
"""Q9BZ71""",5
"""P49336""",20
"""Q9BYV1""",6
"""P16662""",4
"""O75251""",5
"""P43681""",10
"""P55160""",12
"""P19823""",4
"""Q96ES7""",3
"""Q96GG9""",3
"""P51841""",7
"""P55211""",24
"""Q9UL18""",29
"""P46020""",4
"""P08397""",3
"""Q7Z5Q5""",2
"""Q12912""",3
"""O75947""",7
"""P29401""",5
"""P54315""",3
"""Q9H1H9""",4
"""Q9Y535""",9
"""Q9BY66""",3
"""Q96RN5""",5
"""O95400""",4
"""O75146""",6
"""Q14330""",6
"""O95696""",9
"""P55055""",8
"""Q96JC4""",3
"""Q07075""",3
"""Q8NHY2""",10
"""Q6IEZ7""",5
"""P63215""",54
"""Q8IZC6""",4
"""Q5SXM1""",3
"""Q17RY6""",3
"""B4DXR9""",3
"""Q8N2H4""",4
"""Q7LGC8""",5
"""Q8N8N0""",4
"""Q9Y3D9""",6
"""Q15751""",4
"""Q8N2G8""",3
"""O14827""",20
"""Q8NGC3""",5
"""Q9NSA3""",4
"""O14796""",3
"""P13631""",7
"""O15552""",7
"""P07741""",7
"""Q9NTI5""",12
"""O60906""",10
"""P48029""",4
"""Q03591""",4
"""P21926""",11
"""P12074""",9
"""P34931""",7
"""O60896""",7
"""O43300""",3
"""Q9P0W2""",5
"""P21781""",34
"""P33260""",5
"""Q86VH4""",3
"""P09210""",4
"""P22531""",3
"""A6NNZ2""",3
"""A6NH21""",4
"""Q9HB15""",3
"""Q9NQG7""",4
"""Q9UBG0""",5
"""Q9UKL6""",4
"""O75911""",9
"""Q9H2H8""",4
"""Q8WXE9""",4
"""Q00839""",4
"""Q9BYT9""",3
"""Q9H207""",5
"""P61158""",15
"""P55268""",13
"""P18074""",48
"""Q03013""",10
"""Q04725""",10
"""Q7Z4H7""",16
"""P08865""",23
"""Q53FV1""",4
"""Q9UI95""",6
"""Q06830""",11
"""P51148""",15
"""B6A8C7""",3
"""Q9NP72""",13
"""Q08554""",6
"""P49753""",6
"""Q9Y316""",4
"""Q9Y2E6""",12
"""P49279""",10
"""P54278""",4
"""Q8N302""",4
"""O14905""",6
"""Q8IXY8""",4
"""P31213""",5
"""Q9HCU9""",3
"""Q3SXZ3""",3
"""P22234""",4
"""Q53EU6""",5
"""P32754""",4
"""Q07699""",7
"""Q5TA45""",3
"""Q8N7E2""",4
"""Q969J2""",3
"""O43513""",5
"""Q5T752""",3
"""P98182""",3
"""P15313""",11
"""P40227""",9
"""Q29RF7""",12
"""P20333""",6
"""Q8N988""",3
"""P10599""",20
"""Q9BTV6""",4
"""Q9BU76""",3
"""Q8TAV3""",6
"""P61221""",4
"""Q8NEX9""",6
"""P62081""",26
"""Q2M1Z3""",3
"""Q9NRR6""",9
"""Q9NYP7""",8
"""P25874""",6
"""Q96T21""",4
"""Q9P296""",9
"""P32322""",3
"""Q9ULW5""",3
"""Q9UFF9""",9
"""P09132""",3
"""Q14642""",3
"""O76001""",5
"""P98077""",11
"""Q6IBW4""",5
"""P61923""",11
"""O75437""",3
"""Q92837""",6
"""Q13277""",4
"""O75317""",4
"""P24723""",8
"""Q02548""",5
"""Q15361""",12
"""Q96EY9""",3
"""P18146""",5
"""Q9UIX4""",3
"""Q9H816""",2
"""Q9H7P6""",12
"""Q8NCD3""",4
"""P01762""",23
"""Q9NQA5""",4
"""Q9UBN7""",23
"""O60522""",3
"""Q9H015""",5
"""Q9Y3E5""",4
"""O43903""",5
"""P21728""",8
"""P03372""",30
"""Q15262""",4
"""Q8IZP7""",5
"""P11532""",4
"""Q8NGL2""",5
"""P30556""",11
"""O60231""",4
"""Q4U2R6""",6
"""Q53G59""",4
"""O43612""",8
"""P49747""",3
"""O43581""",3
"""Q8N104""",5
"""P23490""",3
"""Q00341""",4
"""P41732""",8
"""Q9BUI4""",9
"""Q8NG77""",5
"""Q86XE5""",3
"""Q99490""",3
"""Q8TBK2""",3
"""P13646""",2
"""P26651""",3
"""P07948""",41
"""Q969R5""",9
"""Q13200""",9
"""Q9P2W9""",5
"""P15121""",8
"""Q9Y259""",6
"""O76100""",5
"""Q13190""",12
"""P23416""",3
"""Q86V24""",3
"""Q86UQ4""",3
"""O95780""",3
"""O76090""",3
"""Q30KQ4""",5
"""O00631""",6
"""Q14896""",2
"""O14521""",6
"""Q7Z6R9""",6
"""Q9H9F9""",8
"""Q04917""",22
"""P19099""",10
"""P01861""",11
"""Q9Y5Q8""",6
"""Q9H228""",7
"""P46976""",8
"""Q13751""",15
"""P62699""",3
"""Q6IA86""",3
"""Q96SB8""",5
"""Q00059""",3
"""O76099""",5
"""P54284""",14
"""P49810""",24
"""O43315""",4
"""O15084""",8
"""P30520""",4
"""Q9Y337""",3
"""Q9Y2G7""",3
"""P25490""",17
"""Q12840""",12
"""Q9NQ38""",3
"""P20645""",9
"""Q9UHY1""",4
"""Q96HI0""",5
"""O43674""",5
"""Q9NSU2""",7
"""Q86Z14""",30
"""Q86YP4""",20
"""Q9NT62""",2
"""P40394""",4
"""Q8TDL5""",3
"""Q5VY80""",3
"""Q8NGV6""",5
"""Q8NH76""",5
"""A6NL26""",5
"""Q8NGK6""",5
"""P04085""",21
"""O75563""",2
"""O00220""",15
"""Q9H3R2""",9
"""Q01814""",10
"""P15328""",10
"""Q5T8I9""",3
"""O75443""",3
"""P16188""",7
"""O95202""",2
"""P29218""",3
"""P25713""",3
"""P32019""",7
"""P52569""",4
"""Q9BSJ2""",9
"""Q16543""",11
"""P18464""",7
"""Q96G04""",3
"""Q96G25""",5
"""P19022""",11
"""P06865""",12
"""Q03393""",4
"""Q6ZMM2""",4
"""Q9HAB8""",5
"""Q08752""",3
"""Q15058""",4
"""Q14849""",5
"""P09012""",4
"""Q9NQ50""",6
"""Q8WUW1""",11
"""Q07960""",3
"""Q06413""",32
"""P61803""",3
"""Q7L5A8""",4
"""Q8N4Q1""",2
"""Q13163""",5
"""Q96M96""",10
"""Q15382""",15
"""P35659""",7
"""A2VEC9""",4
"""Q99967""",6
"""Q8IZD2""",8
"""O00625""",2
"""O15297""",4
"""O60543""",3
"""Q8NEB9""",25
"""P01834""",23
"""Q9P015""",6
"""O15042""",4
"""O43237""",27
"""Q8TE02""",3
"""P49918""",5
"""Q8NGY3""",5
"""Q8TDD2""",6
"""O75152""",9
"""Q8NGN3""",5
"""Q00653""",38
"""O14994""",5
"""Q9BQC6""",6
"""O15198""",3
"""Q6TGC4""",2
"""Q71F23""",19
"""Q92546""",7
"""P12272""",6
"""Q5UE93""",13
"""Q58WW2""",3
"""Q75V66""",3
"""P34130""",8
"""O75521""",7
"""P61647""",9
"""Q8TCC7""",5
"""P16152""",5
"""Q13361""",3
"""Q9HAF1""",9
"""P05231""",15
"""P62861""",23
"""Q96HE7""",6
"""P17693""",7
"""Q32P41""",4
"""Q96GD3""",21
"""Q01081""",11
"""Q969I6""",4
"""O96020""",32
"""Q9HC97""",4
"""O00142""",4
"""Q02818""",4
"""Q9Y6I4""",4
"""Q9H900""",16
"""O94941""",4
"""P26717""",4
"""Q8NG83""",5
"""Q9H1P3""",5
"""Q99880""",71
"""Q96NY9""",8
"""Q08050""",6
"""P49441""",3
"""Q9Y6X5""",3
"""Q8WYA6""",4
"""Q14126""",8
"""Q6ZN18""",6
"""O43290""",4
"""P56179""",5
"""Q9Y5S9""",13
"""P11802""",29
"""Q8NCM2""",3
"""Q7Z5P9""",9
"""P83369""",8
"""Q8NCW6""",4
"""Q9Y508""",4
"""Q9NQT8""",8
"""Q9Y3Y4""",4
"""P02787""",15
"""Q8TED1""",3
"""Q9BRX9""",5
"""Q8NH61""",5
"""Q8NGU1""",5
"""Q92759""",48
"""P11511""",9
"""Q96J01""",9
"""Q8TCT0""",4
"""P04070""",13
"""Q2M5E4""",5
"""Q9BQT8""",4
"""Q9NPI9""",12
"""Q9UI12""",19
"""Q75N03""",4
"""Q6DHV7""",6
"""Q2MKA7""",4
"""Q86YR5""",4
"""P41279""",29
"""Q9UGL1""",8
"""Q13574""",7
"""Q8IYS5""",5
"""Q14324""",2
"""P42685""",8
"""Q7L0J3""",8
"""P41159""",2
"""P06850""",6
"""P62273""",23
"""O00241""",6
"""P08574""",6
"""Q9HCK5""",28
"""P34925""",5
"""Q9ULB1""",5
"""Q9UNA3""",4
"""Q9UGM6""",4
"""Q9GZV4""",4
"""Q5VWQ8""",5
"""O75629""",3
"""Q9Y217""",5
"""Q09013""",3
"""Q8N146""",5
"""Q8N0S6""",19
"""Q14995""",4
"""Q13469""",16
"""O95399""",7
"""P38919""",20
"""Q6YHU6""",3
"""Q8IVS8""",4
"""P26639""",4
"""Q92963""",6
"""Q8IVF7""",4
"""Q9ULC6""",2
"""Q8NEC5""",3
"""O15360""",2
"""Q9NYQ3""",6
"""O15354""",7
"""Q9P000""",6
"""Q07954""",12
"""Q99961""",14
"""Q13151""",4
"""Q15562""",6
"""Q96GW9""",4
"""Q6IQ55""",3
"""P62837""",24
"""Q9ULD5""",3
"""Q14197""",6
"""Q7Z6Z6""",4
"""Q9H8X2""",4
"""Q9Y3R0""",6
"""Q03468""",14
"""Q7Z3Z0""",2
"""Q9HBK9""",4
"""O75347""",3
"""Q9UDY8""",13
"""O94923""",5
"""P48506""",5
"""Q9Y4X1""",4
"""Q9Y5N5""",7
"""P09884""",25
"""Q8WTV0""",7
"""P54578""",4
"""Q9Y585""",5
"""O95777""",4
"""Q9H0W5""",3
"""P35548""",5
"""Q9Y4L5""",4
"""Q96LB9""",3
"""Q6N021""",3
"""Q96DX8""",5
"""Q13046""",2
"""Q8N4V1""",2
"""O00628""",2
"""P55001""",3
"""O43272""",4
"""Q5NV86""",20
"""P30622""",17
"""Q53FT3""",4
"""P10176""",9
"""P86790""",4
"""P0CG30""",4
