Type,Sample,Size,ms,Repetition
UNIPROT,6,6000,886.578,4
UNIPROT,6,6000,869.337,5
UNIPROT,6,8000,939.020,1
UNIPROT,6,8000,953.785,2
UNIPROT,6,8000,947.804,3
UNIPROT,6,8000,929.651,4
UNIPROT,6,8000,993.510,5
UNIPROT,6,10000,1001.822,1
UNIPROT,6,10000,1003.601,2
UNIPROT,6,10000,1011.102,3
UNIPROT,6,10000,1040.968,4
UNIPROT,6,10000,1011.641,5
UNIPROT,6,12000,1069.873,1
UNIPROT,6,12000,1062.727,2
UNIPROT,6,12000,1148.321,3
UNIPROT,6,12000,1069.159,4
UNIPROT,6,12000,1068.406,5
UNIPROT,6,14000,1159.863,1
UNIPROT,6,14000,1138.639,2
UNIPROT,6,14000,1134.282,3
UNIPROT,6,14000,1133.510,4
UNIPROT,6,14000,1191.712,5
UNIPROT,6,16000,1202.194,1
UNIPROT,6,16000,1212.489,2
UNIPROT,6,16000,1258.540,3
UNIPROT,6,16000,1181.608,4
UNIPROT,6,16000,1209.820,5
UNIPROT,6,18000,1279.778,1
UNIPROT,6,18000,1348.111,2
UNIPROT,6,18000,1273.329,3
UNIPROT,6,18000,1259.403,4
UNIPROT,6,18000,1344.667,5
UNIPROT,6,20000,1347.741,1
UNIPROT,6,20000,1341.881,2
UNIPROT,6,20000,1402.076,3
UNIPROT,6,20000,1352.258,4
UNIPROT,6,20000,1369.373,5
UNIPROT,7,1,881.892,1
UNIPROT,7,1,878.497,2
UNIPROT,7,1,956.459,3
UNIPROT,7,1,820.830,4
UNIPROT,7,1,842.587,5
UNIPROT,7,2000,759.884,1
UNIPROT,7,2000,747.858,2
UNIPROT,7,2000,749.922,3
UNIPROT,7,2000,797.118,4
UNIPROT,7,2000,749.353,5
UNIPROT,7,4000,796.405,1
UNIPROT,7,4000,824.256,2
UNIPROT,7,4000,814.959,3
UNIPROT,7,4000,859.450,4
UNIPROT,7,4000,815.324,5
UNIPROT,7,6000,863.601,1
UNIPROT,7,6000,864.977,2
UNIPROT,7,6000,865.217,3
UNIPROT,7,6000,932.482,4
UNIPROT,7,6000,868.255,5
UNIPROT,7,8000,930.745,1
UNIPROT,7,8000,939.896,2
UNIPROT,7,8000,1034.003,3
UNIPROT,7,8000,975.248,4
UNIPROT,7,8000,927.567,5
UNIPROT,7,10000,997.021,1
UNIPROT,7,10000,1102.664,2
UNIPROT,7,10000,992.006,3
UNIPROT,7,10000,998.583,4
UNIPROT,7,10000,989.691,5
UNIPROT,7,12000,1069.442,1
UNIPROT,7,12000,1081.489,2
UNIPROT,7,12000,1063.864,3
UNIPROT,7,12000,1064.344,4
UNIPROT,7,12000,1109.580,5
UNIPROT,7,14000,1152.514,1
UNIPROT,7,14000,1130.731,2
UNIPROT,7,14000,1186.666,3
UNIPROT,7,14000,1143.592,4
UNIPROT,7,14000,1131.103,5
UNIPROT,7,16000,1275.139,1
UNIPROT,7,16000,1207.328,2
UNIPROT,7,16000,1206.086,3
UNIPROT,7,16000,1186.691,4
UNIPROT,7,16000,1266.793,5
UNIPROT,7,18000,1264.958,1
UNIPROT,7,18000,1269.610,2
UNIPROT,7,18000,1339.882,3
UNIPROT,7,18000,1275.057,4
UNIPROT,7,18000,1272.076,5
UNIPROT,7,20000,1382.301,1
UNIPROT,7,20000,1350.523,2
UNIPROT,7,20000,1341.788,3
UNIPROT,7,20000,1348.494,4
UNIPROT,7,20000,1355.941,5
UNIPROT,8,1,669.886,1
UNIPROT,8,1,673.558,2
UNIPROT,8,1,672.926,3
UNIPROT,8,1,660.784,4
UNIPROT,8,1,677.695,5
UNIPROT,8,2000,732.502,1
UNIPROT,8,2000,741.359,2
UNIPROT,8,2000,748.897,3
UNIPROT,8,2000,742.137,4
UNIPROT,8,2000,736.943,5
UNIPROT,8,4000,895.136,1
UNIPROT,8,4000,794.128,2
UNIPROT,8,4000,861.461,3
UNIPROT,8,4000,802.137,4
UNIPROT,8,4000,797.953,5
UNIPROT,8,6000,945.080,1
UNIPROT,8,6000,870.078,2
UNIPROT,8,6000,871.727,3
UNIPROT,8,6000,868.308,4
UNIPROT,8,6000,864.664,5
UNIPROT,8,8000,919.881,1
UNIPROT,8,8000,926.899,2
UNIPROT,8,8000,948.373,3
UNIPROT,8,8000,922.381,4
UNIPROT,8,8000,981.568,5
UNIPROT,8,10000,987.945,1
UNIPROT,8,10000,985.860,2
UNIPROT,8,10000,986.667,3
UNIPROT,8,10000,1031.577,4
UNIPROT,8,10000,982.208,5
UNIPROT,8,12000,1057.842,1
UNIPROT,8,12000,1068.197,2
UNIPROT,8,12000,1160.843,3
UNIPROT,8,12000,1058.869,4
UNIPROT,8,12000,1060.762,5
UNIPROT,8,14000,1174.312,1
UNIPROT,8,14000,1142.006,2
UNIPROT,8,14000,1145.939,3
UNIPROT,8,14000,1123.000,4
UNIPROT,8,14000,1121.720,5
UNIPROT,8,16000,1201.160,1
UNIPROT,8,16000,1187.782,2
UNIPROT,8,16000,1184.473,3
UNIPROT,8,16000,1287.296,4
UNIPROT,8,16000,1220.230,5
UNIPROT,8,18000,1262.246,1
UNIPROT,8,18000,1353.648,2
UNIPROT,8,18000,1278.656,3
UNIPROT,8,18000,1256.725,4
UNIPROT,8,18000,1259.056,5
UNIPROT,8,20000,1345.595,1
UNIPROT,8,20000,1330.505,2
UNIPROT,8,20000,1413.561,3
UNIPROT,8,20000,1337.964,4
UNIPROT,8,20000,1351.956,5
UNIPROT,9,1,668.326,1
UNIPROT,9,1,669.297,2
UNIPROT,9,1,724.168,3
UNIPROT,9,1,668.061,4
UNIPROT,9,1,658.551,5
UNIPROT,9,2000,744.555,1
UNIPROT,9,2000,736.966,2
UNIPROT,9,2000,741.994,3
UNIPROT,9,2000,805.671,4
UNIPROT,9,2000,744.270,5
UNIPROT,9,4000,799.111,1
UNIPROT,9,4000,794.505,2
UNIPROT,9,4000,792.811,3
UNIPROT,9,4000,863.578,4
UNIPROT,9,4000,791.273,5
UNIPROT,9,6000,864.864,1
UNIPROT,9,6000,853.572,2
UNIPROT,9,6000,915.075,3
UNIPROT,9,6000,846.957,4
UNIPROT,9,6000,853.497,5
UNIPROT,9,8000,918.609,1
UNIPROT,9,8000,961.349,2
UNIPROT,9,8000,917.957,3
UNIPROT,9,8000,916.750,4
UNIPROT,9,8000,917.624,5
UNIPROT,9,10000,1059.961,1
UNIPROT,9,10000,1008.393,2
UNIPROT,9,10000,993.701,3
UNIPROT,9,10000,998.265,4
UNIPROT,9,10000,997.250,5
