"""protein""","""reactionCount""","""pathwayCount"""
"""Q8IXI2""",1,4
"""O95498""",1,3
"""Q14318""",1,4
"""P11142""",1,3
"""P20963""",21,13
"""Q9BYV1""",3,6
"""P19823""",1,4
"""P55211""",2,8
"""Q8NHY2""",4,7
"""Q8IZC6""",13,4
"""Q17RY6""",1,3
"""Q8WXE9""",1,4
"""P55268""",1,4
"""Q04725""",2,4
"""Q06830""",3,8
"""P51148""",3,8
"""Q9NP72""",2,7
"""Q8N302""",5,4
"""O14905""",3,3
"""P10599""",9,20
"""Q9ULW5""",1,3
"""Q6IBW4""",1,5
"""P98077""",5,9
"""Q9Y3E5""",1,4
"""P26651""",2,3
"""Q969R5""",1,5
"""P07948""",13,12
"""P46976""",15,5
"""Q9NT62""",3,2
"""Q5VY80""",1,3
"""Q9H3R2""",14,9
"""O75443""",1,3
"""P15328""",16,10
"""P19022""",1,4
"""Q03393""",2,4
"""Q6ZMM2""",2,4
"""Q06413""",3,32
"""A2VEC9""",2,4
"""P49918""",1,5
"""Q00653""",2,8
"""O15198""",6,3
"""P05231""",1,4
"""Q02818""",1,4
"""Q99880""",10,12
"""Q08050""",9,6
"""P11802""",5,5
"""Q7Z5P9""",14,9
"""P02787""",1,4
"""P04070""",18,13
"""P41279""",7,29
"""P42685""",2,5
"""Q9GZV4""",3,4
"""Q13469""",2,11
"""P62837""",8,6
"""Q03468""",3,4
"""P68036""",4,5
"""Q96AX2""",1,3
"""Q9C0I4""",2,4
"""Q13370""",2,11
"""Q14114""",1,3
"""Q8IWE4""",2,3
"""Q7Z6A9""",2,3
"""Q96GX5""",3,5
"""P40818""",3,5
"""O95267""",2,9
"""Q8IV16""",1,3
"""Q8IUE6""",14,11
"""O96017""",9,25
"""O43303""",1,4
"""P01042""",1,4
"""O15072""",2,4
"""P43351""",6,10
"""Q15286""",2,7
"""Q9UP79""",2,4
"""Q92930""",2,7
"""Q8IVP5""",6,2
"""Q9Y5L4""",2,2
"""P10275""",1,4
"""Q9NR19""",1,3
"""Q9UIW2""",8,6
"""Q13094""",30,13
"""P51610""",2,4
"""P13987""",16,10
"""P25940""",13,4
"""Q9UGN5""",16,13
"""Q96PU8""",5,4
"""O43609""",2,4
"""Q8WXS8""",2,4
"""Q86UP2""",1,4
"""P12644""",1,4
"""P61026""",2,7
"""P09603""",1,4
"""O95486""",2,8
"""P29373""",4,3
"""P27658""",12,5
"""Q9H4B6""",12,2
"""Q99466""",9,6
"""Q92945""",2,3
"""P20711""",2,5
"""P21757""",2,3
"""P08151""",9,6
"""P49840""",2,8
"""Q9Y2X3""",2,5
"""O95450""",2,4
"""Q07666""",2,4
"""P39059""",12,5
"""Q6UY14""",2,4
"""P40199""",4,7
"""O75914""",9,16
"""Q8WUD1""",1,3
"""Q9UBV4""",3,3
"""P02649""",1,4
"""Q99877""",10,12
"""P61088""",5,8
"""P15498""",19,19
"""O00238""",6,3
"""Q9P2N4""",2,4
"""P20336""",2,7
"""Q9BZG1""",1,3
"""P11217""",5,4
"""P06748""",1,6
"""P07306""",1,3
"""Q15436""",1,8
"""Q12791""",1,4
"""P48200""",1,2
"""Q13541""",2,3
"""Q7Z2W4""",5,4
"""P36897""",23,19
"""Q8NHU3""",1,4
"""P67775""",3,10
"""P05546""",1,4
"""Q93097""",3,3
"""Q9UKN1""",14,9
"""Q6UQ28""",1,3
"""P25685""",1,3
"""Q32MZ4""",6,6
"""O95684""",7,6
"""O15270""",1,4
"""O15264""",1,4
"""P49459""",2,5
"""Q9Y3M2""",3,4
"""Q99757""",4,7
"""Q9NWQ8""",3,8
"""O15534""",3,1
"""P11498""",1,4
"""P30304""",5,15
"""P13591""",1,4
"""Q93070""",1,3
"""Q93079""",10,12
"""P51805""",8,6
"""O75886""",1,4
"""Q13616""",2,3
"""P12830""",2,4
"""O60674""",68,37
"""P20339""",3,8
"""Q6IQ22""",2,7
"""P45983""",11,45
"""Q17RW2""",13,4
"""Q96QV6""",14,11
"""Q16773""",3,6
"""O00418""",1,3
"""P30307""",10,24
"""P11387""",1,5
"""P27361""",44,100
"""O00622""",1,4
"""P10071""",10,6
