"""protein""","""reactionCount"""
"""Q96MG7""",1
"""Q8WWX8""",1
"""O94810""",3
"""Q8WWC4""",2
"""O76094""",3
"""Q14739""",1
"""O60610""",6
"""P35555""",3
"""Q5MY95""",2
"""Q13740""",1
"""Q13188""",6
"""O95670""",4
"""Q99884""",2
"""P18084""",15
"""P41439""",2
"""Q7L3T8""",1
"""Q15464""",19
"""P80108""",1
"""Q17RR3""",1
"""Q9UK97""",9
"""Q9Y2R2""",3
"""Q9NVH2""",1
"""O15265""",2
"""Q9Y4P8""",3
"""Q8WVX9""",1
"""Q9Y4E8""",3
"""P29374""",1
"""O14921""",1
"""Q9NPF7""",2
"""Q8N4N8""",17
"""Q8NHY6""",1
"""Q8NHB1""",1
"""Q8N4C8""",1
"""P59533""",4
"""P82909""",12
"""Q9NST1""",4
"""Q8NGK1""",1
"""Q9UNE0""",2
"""Q02153""",2
"""Q8NGJ5""",1
"""Q16099""",2
"""O43715""",2
"""P16870""",2
"""O43709""",1
"""P01619""",43
"""Q92952""",1
"""P40123""",1
"""P10588""",1
"""O43678""",7
"""Q8TAW3""",1
"""Q86YE8""",1
"""Q3LIE5""",1
"""Q8TAA3""",4
"""P78317""",4
"""Q6YP21""",1
"""P62277""",27
"""Q6UWR7""",1
"""Q9HAB3""",1
"""Q9Y6Q2""",15
"""P29692""",2
"""Q9UKU0""",1
"""P13598""",2
"""Q9UEY8""",1
"""P21108""",1
"""Q8WW01""",1
"""Q9Y5X1""",14
"""Q9Y691""",2
"""Q8WXX7""",1
"""P35462""",4
"""P17302""",15
"""Q9H2C5""",1
"""P60568""",18
"""Q99962""",40
"""Q6ZUX7""",1
"""O75306""",9
"""P62979""",315
"""Q14703""",9
"""Q96FF9""",10
"""O00755""",4
"""Q99956""",1
"""Q9UJP4""",6
"""Q9UPV0""",21
"""Q7Z4F1""",1
"""Q04828""",7
"""P59923""",1
"""Q12802""",3
"""P28067""",2
"""P46092""",4
"""Q9Y2Y0""",4
"""P48507""",1
"""Q6AI14""",1
"""P09693""",45
"""P20853""",14
"""O43913""",19
"""Q08828""",16
"""P18858""",12
"""P49913""",3
"""Q99665""",7
"""Q8N3C0""",6
"""Q08708""",1
"""Q6AW86""",1
"""P00813""",1
"""Q9NWT6""",1
"""O14983""",2
"""Q92541""",11
"""Q92535""",1
"""P14672""",1
"""O60427""",2
"""O15067""",1
"""Q8N7M0""",4
"""O43808""",1
"""P01718""",43
"""Q9BVC5""",1
"""P15391""",5
"""Q86Y25""",1
"""Q96HR3""",2
"""Q8TCB6""",1
"""Q5VWX1""",1
"""Q15080""",6
"""P13521""",1
"""Q96A32""",5
"""P05412""",11
"""P50876""",1
"""P50897""",1
"""Q9UH17""",2
"""P62241""",27
"""Q9UNN8""",6
"""P52294""",9
"""Q99519""",3
"""Q14916""",1
"""O95295""",4
"""Q14802""",1
"""Q96DZ1""",14
"""Q15776""",1
"""P54756""",2
"""P56180""",1
"""P61204""",12
"""Q96FX7""",1
"""O14531""",3
"""Q8N114""",1
"""Q16526""",4
"""O00167""",2
"""P62745""",24
"""Q71SY5""",2
"""P62937""",33
"""P43034""",37
"""Q9HAW7""",1
"""O14717""",1
"""Q7Z5P4""",1
"""Q06330""",38
"""P01850""",17
"""A0MZ66""",1
"""Q9UJA2""",3
"""Q9Y5R8""",6
"""Q9Y6X9""",1
"""Q9H2X9""",1
"""Q06210""",1
"""Q15485""",4
"""Q9H2M9""",3
