"""protein""","""reactionCount"""
"""Q9H7P9""",3
"""Q96RP9""",2
"""P02656""",11
"""P22301""",6
"""Q8N4H5""",2
"""Q8NI22""",12
"""P31930""",1
"""Q8NGZ2""",1
"""P13760""",31
"""P14866""",8
"""P01780""",44
"""O75845""",2
"""P61758""",2
"""Q14669""",3
"""Q9UBP5""",1
"""Q96RD7""",1
"""Q9UBZ9""",14
"""Q8IYJ3""",1
"""Q7Z403""",2
"""P62508""",1
"""Q99704""",3
"""O14950""",11
"""O75044""",5
"""P55259""",1
"""Q92502""",1
"""Q5NV69""",35
"""Q8NGY0""",1
"""Q15274""",1
"""Q8NGN0""",1
"""Q9NV72""",1
"""Q08AH1""",2
"""Q8NGC0""",1
"""Q9Y256""",1
"""Q8NG80""",1
"""P55769""",11
"""Q7Z418""",2
"""Q5RKV6""",4
"""O60243""",1
"""P54108""",2
"""P49765""",3
"""Q8N122""",17
"""Q9BTE1""",3
"""Q8NGQ6""",1
"""P0C024""",3
"""Q9NYU2""",1
"""Q8NG95""",1
"""Q8NGC9""",1
"""Q9NRA1""",2
"""P48728""",1
"""Q6UX72""",1
"""Q02083""",1
"""P78367""",1
"""P49588""",1
"""Q9NR61""",21
"""O60939""",2
"""Q9P1Q5""",1
"""P52333""",27
"""O43639""",23
"""P20273""",5
"""Q5VIR6""",2
"""P23434""",6
"""P10398""",24
"""P62873""",79
"""Q96F44""",3
"""P30838""",1
"""P26678""",3
"""Q01118""",2
"""P13232""",6
"""Q9Y6J6""",2
"""Q9UL15""",1
"""Q9UKP5""",2
"""P19013""",3
"""Q9UKZ9""",1
"""O94953""",13
"""Q9UKE5""",1
"""Q99731""",6
"""Q96QF0""",8
"""O75923""",2
"""O95838""",4
"""Q8N4J0""",1
"""Q96PZ0""",1
"""Q13107""",4
"""Q14627""",1
"""P08908""",4
"""Q8IYF1""",28
"""Q15181""",1
"""Q9UIG8""",1
"""P83876""",9
"""P07237""",11
"""O60462""",2
"""P10092""",4
"""Q12918""",1
"""P20591""",1
"""P58182""",1
"""Q13586""",5
"""C9JRZ8""",1
"""Q9H4Y5""",2
"""O43837""",1
"""O95406""",11
"""Q8N335""",1
"""O14944""",35
"""Q9BV10""",1
"""O95396""",2
"""Q9NZU1""",1
"""Q01130""",17
"""Q8NH94""",1
"""Q8NHC8""",1
"""Q9NSV4""",1
"""Q6UXV1""",1
"""P12872""",4
"""P50135""",2
"""Q8NGB4""",1
"""Q5TA78""",2
"""O75581""",14
"""P22897""",4
"""P33402""",2
"""P40926""",2
"""O60237""",7
"""O75461""",21
"""P20366""",5
"""Q86X55""",7
"""Q14831""",4
"""Q15691""",37
"""Q9BSK4""",3
"""Q93038""",1
"""Q9NYG5""",28
"""P13637""",1
"""Q9NS69""",2
"""P08311""",7
"""O75971""",12
"""P25116""",16
"""Q2M1P5""",1
"""Q9UK22""",9
"""Q9Y5K3""",1
"""Q6UX39""",1
"""Q9ULC3""",2
"""Q13790""",1
"""P15907""",4
"""Q9BY84""",2
"""Q9BXW4""",6
"""Q14654""",4
"""P61956""",26
"""Q9UEF7""",32
"""Q13976""",5
"""O75356""",1
"""Q8WVD3""",3
"""Q96MP8""",6
"""Q8TEA1""",1
"""Q15404""",1
"""Q5JPI9""",1
"""Q96K12""",1
"""P55265""",3
"""Q8IZF0""",1
"""P46926""",1
"""P51946""",76
"""O00451""",18
"""P18065""",1
"""Q7Z4H4""",4
"""Q9H7S9""",1
"""Q6PHR2""",2
"""O15205""",1
"""Q7Z4R8""",1
"""P11055""",4
"""Q6PJP8""",1
"""O95619""",2
"""Q9NPA3""",3
"""P00326""",2
"""O43255""",8
"""Q8TDQ0""",1
"""Q4G0N4""",1
"""Q8NGE1""",1
"""P07951""",8
"""Q92564""",11
"""Q9NTI2""",2
"""O60264""",6
"""Q6PGQ7""",6
"""Q9NW38""",8
"""P20585""",6
"""Q8N257""",119
"""Q5JSL3""",1
"""P67809""",13
"""P11940""",10
"""Q86XT4""",3
"""O43504""",20
"""Q86XS8""",3
"""Q96GF1""",8
"""Q96AJ9""",7
"""Q9ULH1""",6
"""P43489""",1
"""Q9NZQ8""",1
"""P62072""",2
"""Q9P2N7""",6
"""O00154""",1
"""Q9UMX6""",2
"""P41594""",7
"""P51649""",1
"""Q6UXG8""",1
"""P15814""",1
"""O75569""",2
"""O95136""",4
"""P17538""",2
"""Q9H3P7""",1
"""P42338""",29
"""Q63HM1""",1
"""Q6P582""",3
"""P62888""",20
"""P19835""",3
"""Q16363""",10
"""O95208""",16
"""Q86SZ2""",5
"""Q08ET2""",3
"""P37173""",43
"""Q7Z3T1""",1
"""Q16222""",1
"""Q9UJY5""",3
"""Q8NDP4""",1
"""Q9Y2S0""",30
"""Q9Y5J7""",2
"""P48443""",3
"""Q9NP90""",7
"""Q9Y2H0""",4
"""Q8N461""",9
"""Q99611""",1
"""Q9H7Z7""",2
"""O15273""",4
"""Q6QHC5""",1
"""O95718""",1
"""Q6P597""",5
"""P20783""",3
"""Q9H0F6""",4
"""Q5QP82""",5
"""Q08623""",1
"""O60513""",4
"""A0AVF1""",5
"""P30481""",16
"""Q9HCX3""",1
"""P04233""",15
"""Q92777""",4
"""Q9NP99""",3
"""Q9NUI1""",3
"""Q9Y235""",2
"""P01768""",44
"""Q9BUE0""",1
"""O43603""",4
"""Q9BTN0""",2
"""Q96PQ1""",1
"""Q8TBF2""",1
"""O14818""",4
"""Q8NGY9""",1
"""P25101""",4
"""P21917""",4
"""Q9H3S4""",1
"""Q9H444""",3
"""Q9UF12""",2
"""O95922""",1
"""Q01826""",3
"""Q8WYP5""",13
"""P98095""",4
"""P23527""",120
"""Q9UDY2""",4
"""O95235""",5
"""P48146""",4
"""Q14165""",3
"""Q9H324""",2
"""P24387""",1
"""Q8TAE7""",1
"""Q13487""",12
"""P62987""",308
"""O00763""",1
"""Q8IW45""",1
"""P10321""",17
"""P61326""",9
"""Q6JVE5""",1
"""P25787""",6
"""O15492""",1
"""Q9UKY4""",1
"""Q9ULD8""",1
"""Q9Y6H5""",3
"""Q9H339""",1
"""Q9NQC3""",3
"""O00148""",4
"""Q96MR9""",1
"""O15372""",8
"""P09237""",24
"""Q9Y6G9""",18
"""Q9Y5Q5""",1
"""Q9H2G9""",1
"""Q9Y625""",21
"""O43921""",2
"""O95786""",29
"""Q9Y619""",1
"""Q16831""",2
"""P38646""",12
"""Q08722""",12
"""P55145""",1
"""Q9P0X4""",1
"""Q15466""",1
"""O43306""",18
"""P25440""",5
"""Q9BQC3""",1
"""Q8NB91""",8
"""Q9NP84""",2
"""P52630""",16
"""Q9NPB8""",2
"""P01732""",1
"""P59025""",1
"""P03951""",4
"""Q96Q42""",1
"""O43791""",2
"""Q8N428""",1
"""O75185""",1
"""P21506""",1
"""Q96HS1""",1
"""P30475""",16
"""A8K8P3""",22
"""P04035""",1
"""Q92558""",6
"""Q9HBY0""",2
"""P32745""",5
"""P06280""",2
"""Q969I3""",2
"""Q13410""",2
"""Q9UGF5""",1
"""Q9Y277""",2
"""O75554""",3
"""Q13404""",17
"""P28330""",2
"""Q9BUN8""",8
"""P61353""",20
"""Q9UHC7""",5
"""Q14258""",34
"""Q15014""",1
"""Q969W9""",2
"""Q14123""",2
"""P47870""",2
"""Q9H252""",1
"""Q8NGF6""",1
"""P28288""",2
"""Q71F56""",1
"""Q9HAW9""",1
"""Q9HB89""",7
"""Q60I27""",1
"""P35609""",13
"""Q9Y4P1""",2
"""P53634""",15
"""O95999""",13
"""P01270""",4
"""O95229""",13
"""Q14159""",2
"""Q6PXP3""",1
"""P02790""",4
"""P68363""",10
"""O95198""",6
"""Q9UQL6""",3
"""Q8IVG9""",8
"""O15294""",2
"""Q9Y547""",5
"""Q9NR97""",18
"""Q8NBX0""",1
"""Q8N2S1""",2
"""Q9P126""",3
"""P04920""",1
"""P48509""",3
"""P51172""",2
"""Q5T4W7""",16
"""Q9NPI6""",3
"""Q15388""",3
"""P20849""",20
"""Q9BQ15""",1
"""Q9BYM8""",6
"""Q96BT3""",15
"""Q9NV66""",1
"""Q9NWT8""",12
"""Q5TG30""",1
"""P06493""",71
"""Q96BI3""",9
"""P45984""",4
"""P27824""",11
"""P50213""",1
"""Q9UHF4""",3
"""Q11206""",5
"""Q86WJ1""",9
"""P15538""",1
"""Q13617""",16
"""Q86YS7""",1
"""P0C7N8""",1
"""P41208""",34
"""Q13503""",1
"""Q96Q15""",2
"""P35318""",4
"""P16284""",11
"""P62316""",17
"""Q13472""",23
"""Q02878""",20
"""P35968""",45
"""Q9UBD9""",4
"""Q6ZMZ0""",3
"""Q96AH8""",4
"""Q8NFR3""",1
"""Q8IY37""",1
"""Q9UF33""",2
"""P29803""",4
"""P17658""",1
"""Q9NSA0""",1
"""Q9H210""",1
"""Q9Y5P0""",1
"""Q8N7H5""",11
"""P35869""",6
"""O43432""",1
"""O14653""",16
"""Q9NXB0""",3
"""P37287""",1
"""Q9NZV6""",1
"""Q06587""",14
"""Q9NX70""",1
"""P30085""",4
"""Q9NS75""",4
"""Q9NYT6""",1
"""Q8N4T4""",3
"""O43447""",2
"""Q9NQT5""",4
"""Q9P219""",1
"""Q68CZ2""",1
"""O14548""",1
"""Q9NXB9""",7
"""P30460""",16
"""Q92570""",1
"""P05186""",1
"""Q9BQE4""",1
"""Q6PJG9""",4
"""Q9BQ83""",3
"""Q04671""",1
"""Q5TAT6""",13
"""P30532""",4
"""P61020""",6
"""Q9NP78""",1
"""Q5TCS8""",2
"""Q8NCM8""",4
"""P50395""",22
"""P29320""",2
"""P35225""",5
"""Q15800""",2
"""P04908""",83
"""Q9BX79""",2
"""Q8IXK0""",8
"""P60660""",11
"""Q8WUF5""",1
"""Q96R08""",1
"""Q9HCG1""",1
"""Q8TDX7""",3
"""Q14435""",2
"""P35080""",9
"""Q96QD8""",2
"""Q9HCQ5""",1
"""O00487""",7
"""P43354""",1
"""Q9GZQ4""",8
"""Q9HAW0""",5
"""O75575""",18
"""P08571""",46
"""Q9ULW2""",1
"""O75626""",1
"""Q16555""",4
"""Q15008""",6
"""Q15029""",9
"""P10606""",1
"""Q8IWI9""",4
"""O14746""",8
"""P11274""",16
"""Q9ULX7""",2
"""Q6ZNB7""",1
"""Q9NR82""",1
"""Q9NQL2""",20
"""O60825""",1
"""Q9Y5Z4""",1
"""P30043""",1
"""P21731""",13
"""Q8N4P2""",5
"""P49354""",2
"""Q9NY84""",1
"""Q92783""",24
"""Q9BYW3""",1
"""A6NHA9""",1
"""P11169""",6
"""Q96KP1""",1
"""Q9NXK8""",9
"""Q53H76""",1
"""P61254""",20
"""P42224""",34
"""Q5JTW2""",22
"""O43915""",4
"""Q7Z5H3""",1
"""Q9BW92""",1
"""Q9H1J7""",6
"""Q8WWR8""",2
"""Q96RP3""",1
"""Q68D85""",1
"""P61764""",13
"""Q9BRF8""",1
"""O75164""",13
"""O75143""",10
"""Q68CL5""",1
"""P61077""",13
"""P22459""",1
"""Q96HQ0""",1
"""Q14534""",1
"""P55073""",1
"""P05534""",16
"""Q96B33""",1
"""P46734""",6
"""Q6VY07""",2
"""P35813""",3
"""Q9HCM3""",5
"""P15559""",1
"""P08670""",7
"""P09669""",1
"""O15013""",3
"""Q9Y262""",8
"""Q9Y2K6""",1
"""P27694""",82
"""P17643""",1
"""P29122""",4
"""O95427""",1
"""P62993""",264
"""O75533""",14
"""P43307""",2
"""P16278""",8
"""Q96P16""",2
"""Q15113""",2
"""Q99527""",4
"""P05549""",20
"""O75038""",1
"""Q8N1Q1""",2
"""Q16654""",1
"""Q99496""",13
"""O00268""",22
"""Q9HCE9""",2
"""Q8NGZ5""",1
"""Q16513""",3
"""Q8NH05""",1
"""Q93050""",6
"""Q9NRW1""",9
"""Q8NGD5""",1
"""P78352""",25
"""Q15617""",1
"""P48047""",4
"""P09429""",11
"""P20393""",7
"""P78346""",1
"""P29017""",1
"""O60258""",153
"""Q8N5P1""",1
"""Q71RS6""",1
"""Q9BZW2""",1
"""Q92882""",2
"""Q6ECI4""",1
"""Q8TAF3""",6
"""Q86W56""",2
"""Q9NYV7""",4
"""Q5VVQ6""",1
"""Q86V21""",1
"""P0DP23""",51
"""P12018""",1
"""Q9H840""",5
"""P45381""",1
"""Q96RS0""",2
"""P32241""",4
"""P15622""",1
"""P51151""",6
"""A4D1S5""",2
"""O95631""",22
"""P01258""",4
"""Q9P0N9""",1
"""Q13227""",1
"""Q5JVG2""",1
"""Q9BYV7""",1
"""O95817""",1
"""P55286""",2
"""Q15311""",1
"""P18887""",13
"""P07477""",6
"""P50120""",5
"""P39210""",2
"""P04196""",6
"""O00472""",1
"""Q1ZYL8""",1
"""O94782""",5
"""P07357""",7
"""O75752""",1
"""Q12846""",7
"""O95340""",4
"""O94776""",6
"""Q8NBF2""",1
"""A8MT69""",10
"""Q08380""",1
"""O75746""",2
"""Q9UHY7""",1
"""P49771""",2
"""Q9Y2R4""",1
"""Q8IWT0""",1
"""Q16540""",10
"""Q08431""",1
"""Q99595""",8
"""Q8NGG2""",1
"""Q5MNZ9""",1
"""Q96AQ7""",1
"""Q92585""",36
"""P59541""",4
"""Q04446""",3
"""P59535""",4
"""Q969W0""",1
"""Q8N158""",21
"""O43525""",2
"""P22570""",5
"""P98194""",1
"""Q8NG27""",3
"""O60216""",21
"""P39656""",5
"""Q8TAM1""",1
"""P11226""",4
"""Q49A17""",1
"""Q68E01""",1
"""O43426""",14
"""P15169""",1
"""P16581""",2
"""Q6XPR3""",4
"""Q96NR8""",1
"""P62805""",139
"""Q5FBB7""",13
"""Q3ZCM7""",2
"""Q96NG8""",1
"""O76013""",3
"""P05165""",2
"""O75335""",11
"""O00571""",2
"""Q96D31""",2
"""Q9UI30""",4
"""Q9UJF2""",2
"""O00757""",1
"""O94989""",3
"""Q5T653""",10
"""Q8N5X7""",1
"""P20042""",12
"""Q8N697""",2
"""P24864""",19
"""P21583""",34
"""Q9NVR2""",1
"""P30613""",1
"""Q9NYG8""",2
"""P46778""",20
"""O60423""",2
"""Q03112""",3
"""Q5QNW6""",9
"""P14854""",1
"""Q12933""",34
"""Q7Z340""",1
"""Q9NXE8""",4
"""P01714""",43
"""O60609""",16
"""Q8TEY5""",2
"""Q9BXL7""",14
"""O95613""",22
"""O75167""",1
"""Q9UBD3""",4
"""Q99500""",4
"""Q96QB1""",1
"""P30457""",16
"""Q9BX67""",5
"""P17022""",1
"""P42898""",1
"""P82932""",12
"""Q8IY31""",5
"""P36894""",8
"""Q8TE58""",2
"""Q7L1T6""",1
"""P27707""",2
"""Q9UMX0""",1
"""P07339""",8
"""P35998""",6
"""P29317""",2
"""Q8WZ92""",1
"""P29973""",4
"""Q13496""",8
"""Q9UHW9""",1
"""Q9UEW3""",1
"""Q9H5Y7""",1
"""P09417""",1
"""Q14246""",1
"""O95972""",1
"""P62195""",5
"""O95477""",6
"""Q15652""",1
"""Q8IWF6""",1
"""A1A5B4""",1
"""Q6PCT2""",9
"""Q8NH08""",1
"""Q8NFY4""",1
"""Q9UMX9""",1
"""Q9HAV7""",6
"""Q16698""",1
"""Q6PKX4""",1
"""Q14807""",4
"""Q8N4Z0""",2
"""Q9BZM1""",6
"""P01912""",31
"""O95867""",1
"""Q5T4J0""",1
"""Q6P5R6""",20
"""Q08116""",1
"""Q92750""",22
"""O43497""",1
"""P05060""",1
"""Q86U10""",1
"""Q92630""",3
"""P02818""",2
"""Q9UL03""",1
"""Q9UJX3""",28
"""O94956""",1
"""P33176""",5
"""P42701""",7
"""O75131""",2
"""Q99895""",1
"""Q96KP4""",1
"""Q9BXS5""",15
"""Q96BH1""",3
"""P60174""",2
"""Q13085""",2
"""Q6ZQY3""",1
"""Q16720""",1
"""P25391""",13
"""P07225""",9
"""Q969Q0""",20
"""Q9H5Q4""",1
"""P58170""",1
"""P01570""",13
"""Q9Y223""",2
"""O95415""",1
"""Q86YF9""",1
"""Q9H4M3""",9
"""P61626""",4
"""Q8IYH5""",1
"""Q14210""",1
"""P35269""",109
"""Q13454""",2
"""Q99598""",1
"""Q96B36""",9
"""Q16621""",2
"""Q15070""",10
"""Q6ZVT0""",1
"""Q6P1L8""",10
"""Q14204""",39
"""Q05996""",1
"""P59544""",4
"""Q9HCB6""",2
"""Q9GZX5""",1
"""Q8NEM0""",1
"""Q9Y6G3""",10
"""Q8NGA2""",1
"""Q6PG37""",1
"""Q9P2E2""",5
"""O95279""",1
"""P23515""",3
"""Q8NEE6""",9
"""Q9NZI8""",2
"""O14490""",4
"""Q9NRJ3""",4
"""P31785""",26
"""Q9NYR8""",1
"""P12755""",6
"""O15240""",1
"""P11229""",4
"""Q9NQS3""",8
"""O60729""",3
"""Q9UK10""",1
"""P20936""",10
"""P01033""",3
"""P01225""",5
"""Q01523""",5
"""P21796""",7
"""Q96RD1""",1
"""Q5S007""",3
"""Q13002""",4
"""P02766""",5
"""Q96T83""",2
"""Q92552""",12
"""Q96MF7""",1
"""P23193""",37
"""Q5XX13""",10
"""Q9BRV8""",2
"""Q92738""",2
"""P82251""",2
"""P51955""",24
"""Q96EF6""",9
"""P13349""",2
"""P07438""",2
"""P45378""",4
"""P32238""",4
"""P51814""",1
"""Q12834""",37
"""P52788""",1
"""Q8IUF8""",2
"""Q7Z412""",2
"""Q9UBE8""",3
"""Q7Z406""",6
"""O94929""",1
"""Q99707""",4
"""Q8IXI2""",6
"""P35368""",7
"""P05423""",18
"""Q15283""",2
"""Q86YM7""",3
"""Q99676""",1
"""Q16828""",2
"""P18089""",7
"""O00469""",1
"""Q9HDB5""",11
"""O14880""",2
"""Q9Y6N1""",1
"""O15078""",23
"""P49768""",11
"""O95498""",2
"""O75608""",1
"""O43819""",1
"""Q9P2L0""",8
"""Q14318""",1
"""Q16537""",34
"""O14734""",6
"""P56377""",14
"""O43482""",2
"""Q9C005""",11
"""Q8NG98""",1
"""Q9BU61""",7
"""Q6ZMU5""",2
"""P59538""",4
"""P11142""",35
"""Q9NYZ2""",1
"""Q6V0L0""",3
"""P20963""",34
"""Q9NSI6""",2
"""O60828""",6
"""Q00872""",4
"""P68366""",33
"""Q9BZ71""",1
"""P49336""",11
"""Q9BYV1""",3
"""P16662""",1
"""O75251""",9
"""P43681""",6
"""P55160""",8
"""P19823""",1
"""Q96ES7""",1
"""Q96GG9""",11
"""P51841""",1
"""P55211""",11
"""Q9UL18""",49
"""P46020""",2
"""P08397""",1
"""Q7Z5Q5""",1
"""Q12912""",1
"""O75947""",4
"""P29401""",4
"""P54315""",1
"""Q9H1H9""",1
"""Q9Y535""",18
"""Q9BY66""",2
"""Q96RN5""",2
"""O95400""",7
"""O75146""",13
"""Q14330""",4
"""O95696""",5
"""P55055""",2
"""Q96JC4""",1
"""Q07075""",1
"""Q8NHY2""",9
"""Q6IEZ7""",1
"""P63215""",69
"""Q8IZC6""",14
"""Q5SXM1""",1
"""Q17RY6""",1
"""B4DXR9""",1
"""Q8N2H4""",4
"""Q7LGC8""",1
"""Q8N8N0""",1
"""Q9Y3D9""",12
"""Q15751""",3
"""Q8N2G8""",2
"""O14827""",6
"""Q8NGC3""",1
"""Q9NSA3""",1
"""O14796""",1
"""P13631""",3
"""O15552""",4
"""P07741""",2
"""Q9NTI5""",16
"""P21926""",3
"""O60906""",4
"""P48029""",1
"""Q03591""",1
"""P12074""",1
"""P34931""",18
"""O60896""",5
"""O43300""",1
"""Q9P0W2""",2
"""P21781""",47
"""P33260""",4
"""Q86VH4""",1
"""P09210""",1
"""P22531""",4
"""A6NNZ2""",2
"""A6NH21""",1
"""Q9HB15""",1
"""Q9NQG7""",1
"""Q9UBG0""",4
"""Q9UKL6""",1
"""O75911""",2
"""Q9H2H8""",5
"""Q8WXE9""",15
"""Q00839""",8
"""Q9BYT9""",1
"""Q9H207""",1
"""P61158""",14
"""P55268""",13
"""P18074""",79
"""Q03013""",2
"""Q04725""",10
"""Q7Z4H7""",22
"""P08865""",27
"""Q53FV1""",1
"""Q9UI95""",9
"""Q06830""",4
"""P51148""",10
"""B6A8C7""",2
"""Q9NP72""",6
"""Q08554""",4
"""P49753""",3
"""Q9Y316""",2
"""Q9Y2E6""",12
"""P49279""",3
"""P54278""",7
"""Q8N302""",5
"""O14905""",4
"""Q8IXY8""",5
"""P31213""",1
"""Q9HCU9""",1
"""Q3SXZ3""",1
"""P22234""",2
"""Q53EU6""",1
"""P32754""",1
"""Q07699""",2
"""Q5TA45""",1
"""Q8N7E2""",3
"""Q969J2""",1
"""O43513""",4
"""Q5T752""",2
"""P98182""",1
"""P15313""",4
"""P40227""",15
"""Q8N988""",1
"""Q29RF7""",16
"""P20333""",5
"""P10599""",10
"""Q9BTV6""",1
"""Q9BU76""",2
"""Q8TAV3""",3
"""P61221""",1
"""Q8NEX9""",1
"""P62081""",28
"""Q2M1Z3""",1
"""Q9NRR6""",4
"""Q9NYP7""",5
"""P25874""",4
"""Q96T21""",2
"""Q9P296""",1
"""P32322""",1
"""Q9ULW5""",2
"""Q9UFF9""",2
"""P09132""",3
"""Q14642""",1
"""O76001""",1
"""O75437""",1
"""Q6IBW4""",6
"""P98077""",7
"""P61923""",11
"""Q92837""",4
"""Q13277""",1
"""O75317""",1
"""P24723""",4
"""Q02548""",2
"""Q15361""",11
"""Q96EY9""",1
"""P18146""",1
"""Q9UIX4""",1
"""Q9H816""",1
"""Q9H7P6""",5
"""Q8NCD3""",1
"""P01762""",44
"""Q9NQA5""",1
"""Q9UBN7""",6
"""O60522""",2
"""Q9H015""",2
"""Q9Y3E5""",1
"""O43903""",1
"""P03372""",46
"""P21728""",4
"""Q15262""",1
"""Q8IZP7""",1
"""P11532""",5
"""Q8NGL2""",1
"""P30556""",19
"""O60231""",4
"""Q4U2R6""",10
"""Q53G59""",2
"""O43612""",5
"""P49747""",2
"""O43581""",1
"""Q8N104""",1
"""P23490""",4
"""Q00341""",1
"""P41732""",2
"""Q9BUI4""",18
"""Q8NG77""",1
"""Q86XE5""",1
"""Q99490""",1
"""Q8TBK2""",1
"""P13646""",3
"""P26651""",4
"""P07948""",59
"""Q969R5""",6
"""Q13200""",6
"""Q9P2W9""",3
"""P15121""",2
"""O76100""",1
"""Q9Y259""",2
"""Q13190""",19
"""P23416""",1
"""Q86V24""",2
"""Q86UQ4""",2
"""O95780""",1
"""O76090""",2
"""Q30KQ4""",1
"""O00631""",1
"""Q14896""",4
"""O14521""",2
"""Q7Z6R9""",4
"""Q04917""",7
"""Q9H9F9""",2
"""P19099""",4
"""P01861""",22
"""Q9Y5Q8""",12
"""P46976""",17
"""Q9H228""",4
"""Q13751""",15
"""P62699""",2
"""Q6IA86""",1
"""Q96SB8""",1
"""Q00059""",2
"""O76099""",1
"""P54284""",4
"""P49810""",9
"""O43315""",7
"""P30520""",1
"""O15084""",1
"""Q9Y337""",8
"""Q9Y2G7""",1
"""P25490""",5
"""Q12840""",5
"""Q9NQ38""",2
"""P20645""",21
"""Q9UHY1""",1
"""Q96HI0""",3
"""O43674""",7
"""P40394""",1
"""Q9NSU2""",2
"""Q86YP4""",6
"""Q86Z14""",31
"""Q9NT62""",4
"""Q8TDL5""",1
"""Q5VY80""",1
"""Q8NGV6""",1
"""Q8NH76""",1
"""A6NL26""",1
"""Q8NGK6""",1
"""P04085""",27
"""O75563""",2
"""O00220""",11
"""Q9H3R2""",14
"""Q01814""",1
"""P15328""",16
"""Q5T8I9""",3
"""O75443""",1
"""P16188""",16
"""O95202""",1
"""P29218""",3
"""P25713""",3
"""P32019""",3
"""P52569""",2
"""Q9BSJ2""",3
"""Q16543""",39
"""P18464""",16
"""Q96G04""",1
"""Q96G25""",2
"""P19022""",9
"""P06865""",5
"""Q03393""",2
"""Q6ZMM2""",2
"""Q9HAB8""",1
"""Q08752""",2
"""Q15058""",1
"""Q14849""",1
"""P09012""",4
"""Q9NQ50""",10
"""Q8WUW1""",6
"""Q07960""",1
"""P61803""",1
"""Q06413""",3
"""Q7L5A8""",1
"""Q8N4Q1""",1
"""Q13163""",1
"""Q96M96""",3
"""Q15382""",16
"""P35659""",5
"""Q99967""",2
"""A2VEC9""",2
"""Q8IZD2""",11
"""O00625""",1
"""O15297""",1
"""O60543""",1
"""Q8NEB9""",12
"""P01834""",43
"""Q9P015""",10
"""O15042""",6
"""O43237""",16
"""Q8TE02""",1
"""P49918""",7
"""Q8NGY3""",1
"""Q8TDD2""",1
"""O75152""",5
"""Q8NGN3""",1
"""Q00653""",8
"""O14994""",4
"""Q9BQC6""",10
"""O15198""",7
"""Q6TGC4""",2
"""Q71F23""",15
"""Q92546""",5
"""P12272""",4
"""Q5UE93""",5
"""Q58WW2""",5
"""Q75V66""",1
"""P34130""",19
"""O75521""",3
"""P61647""",2
"""Q8TCC7""",1
"""P16152""",1
"""Q13361""",4
"""Q9HAF1""",7
"""P05231""",16
"""P62861""",27
"""Q96HE7""",2
"""P17693""",17
"""Q32P41""",1
"""Q96GD3""",8
"""Q01081""",12
"""Q969I6""",1
"""O96020""",17
"""Q9HC97""",1
"""O00142""",1
"""Q02818""",1
"""Q9Y6I4""",1
"""Q9H900""",13
"""O94941""",3
"""P26717""",11
"""Q8NG83""",1
"""Q9H1P3""",1
"""Q96NY9""",5
"""Q99880""",120
"""Q08050""",9
"""P49441""",2
"""Q9Y6X5""",1
"""Q8WYA6""",6
"""Q14126""",4
"""Q6ZN18""",2
"""O43290""",2
"""P56179""",1
"""Q9Y5S9""",9
"""P11802""",19
"""Q8NCM2""",1
"""Q7Z5P9""",14
"""P83369""",4
"""Q8NCW6""",1
"""Q9Y508""",3
"""Q9NQT8""",3
"""Q9Y3Y4""",3
"""P02787""",22
"""Q8TED1""",1
"""Q9BRX9""",1
"""Q8NH61""",1
"""Q8NGU1""",1
"""P11511""",2
"""Q92759""",79
"""Q96J01""",5
"""Q8TCT0""",1
"""P04070""",18
"""Q2M5E4""",2
"""Q9BQT8""",1
"""Q9NPI9""",2
"""Q9UI12""",8
"""Q75N03""",2
"""Q6DHV7""",2
"""Q2MKA7""",3
"""Q86YR5""",1
"""P41279""",9
"""Q9UGL1""",4
"""Q13574""",1
"""Q8IYS5""",3
"""Q14324""",4
"""P42685""",4
"""Q7L0J3""",4
"""P06850""",6
"""P41159""",15
"""P62273""",27
"""O00241""",2
"""P08574""",2
"""Q9HCK5""",48
"""P34925""",3
"""Q9ULB1""",12
"""Q9UNA3""",1
"""Q9UGM6""",1
"""Q9GZV4""",3
"""Q5VWQ8""",2
"""O75629""",1
"""Q9Y217""",5
"""Q09013""",1
"""Q8N146""",1
"""Q14995""",1
"""Q8N0S6""",15
"""Q13469""",4
"""O95399""",4
"""P38919""",17
"""Q6YHU6""",2
"""Q8IVS8""",1
"""P26639""",1
"""Q8IVF7""",2
"""Q92963""",3
"""Q9ULC6""",2
"""Q8NEC5""",2
"""O15360""",8
"""Q9NYQ3""",3
"""O15354""",4
"""Q07954""",2
"""Q9P000""",16
"""Q99961""",27
"""Q13151""",8
"""Q15562""",4
"""Q96GW9""",1
"""Q6IQ55""",6
"""Q9ULD5""",1
"""P62837""",16
"""Q14197""",10
"""Q7Z6Z6""",1
"""Q9H8X2""",2
"""Q03468""",21
"""Q9Y3R0""",3
"""Q7Z3Z0""",3
"""Q9HBK9""",2
"""O75347""",2
"""Q9UDY8""",12
"""O94923""",2
"""P48506""",1
"""Q9Y4X1""",1
"""Q9Y5N5""",2
"""P09884""",17
"""Q8WTV0""",3
"""P54578""",1
"""Q9Y585""",1
"""O95777""",2
"""Q9H0W5""",2
"""P35548""",1
"""Q9Y4L5""",3
"""Q96LB9""",1
"""Q6N021""",3
"""Q96DX8""",1
"""Q13046""",1
"""Q8N4V1""",1
"""O00628""",6
"""P55001""",4
"""O43272""",1
"""Q5NV86""",35
"""P30622""",14
"""Q53FT3""",3
"""P10176""",1
"""P86790""",1
"""P0CG30""",1
